,,,,,,,,,
id,N° capteur,N° place,PORT,Check Marion,,Check JL,,,
542,542,Stock Leucate,LEUCATE,,,,,,
543,543,Stock Leucate,LEUCATE,,,,,,
544,544,Stock Leucate,LEUCATE,,,,,,
545,545,Stock Leucate,LEUCATE,,,,,,
546,546,Stock Leucate,LEUCATE,,,,,,
547,547,Stock Leucate,LEUCATE,,,,,,
548,548,Stock Leucate,LEUCATE,,,,,,
549,549,Stock Leucate,LEUCATE,,,,,,
550,550,Stock Leucate,LEUCATE,,,,,,
551,551,Stock Leucate,LEUCATE,,,,,,
552,552,Stock Leucate,LEUCATE,,,,,,
553,553,Stock Joinville,ILE D'YEU,0,,,,,
554,554,H-49,BOURGENAY,ok,,,,,
555,555,D-17,ILE D'YEU,ok,,,,,
556,556,B-05,ILE D'YEU,ok,,,,,
557,557,B-13,ILE D'YEU,ok,,,,,
558,558,B-04,ILE D'YEU,ok,,,,,
559,559,B-09,ILE D'YEU,ok,,,,,
560,560,B-03,ILE D'YEU,ok,,,,,
561,561,D-13,ILE D'YEU,ok,,,,,
562,562,F-19,BOURGENAY,ok,,,,,
563,563,B-02,ILE D'YEU,Normalement vide,,,,,
564,564,D-12,ILE D'YEU,Normalement vide,,,,,
565,565,D-16,ILE D'YEU,ok,,,,,
566,566,D-20,ILE D'YEU,ok,,,,,
567,567,B-01,ILE D'YEU,ok,,,,,
568,568,B-10,ILE D'YEU,Normalement vide,,,,,
569,569,B-14,ILE D'YEU,Normalement vide,,,,,
570,570,Stock Joinville,ILE D'YEU,0,,,,,
571,571,C-55,BOURGENAY,ok,,,,,
572,572,Stock Bourgenay,BOURGENAY,0,,,,,
573,573,G-41,BOURGENAY,ok,,,,,
574,574,E-49,BOURGENAY,ok,,,,,
575,575,B-06,ILE D'YEU,ok,,,,,
576,576,D-10,ILE D'YEU,ok,,,,,
577,577,B-11,ILE D'YEU,ok,,,,,
578,578,D-19,ILE D'YEU,ok,,,,,
579,579,D-44,BOURGENAY,ok,,,,,
580,580,E-16,BOURGENAY,Normalement vide,,,,,
581,581,E-34,BOURGENAY,Normalement vide,,,,,
582,582,F-41,BOURGENAY,ok,,,,,
583,583,B-12,ILE D'YEU,ok,,,,,
584,584,Stock Joinville,ILE D'YEU,0,,,,,
585,585,D-15,ILE D'YEU,ok,,,,,
586,586,D-11,ILE D'YEU,ok,,,,,
587,587,G-24,BOURGENAY,ok,,,,,
588,588,D-54,BOURGENAY,ok,,,,,
589,589,C-12,BOURGENAY,ok,,,,,
590,590,,ANTIBES GALLICE,,,,,,
591,591,,ANTIBES GALLICE,,,,,,
